Metadata_Condition,Metadata_Label,Mean_Delta_Accuracy,Mean_Delta_Kappa,Mean_Delta_Bias_Rate
source,Source,-0.008027400215293462,-0.004737959065736796,-0.01992978641959383
politics,Politics,0.02319594453127146,0.007852167099120422,0.07180666732932496
source_politics,Source + Politics,0.016842588343276704,0.0024636242290288824,0.05667737494263425
source_demographic,Source + Demographic,-0.0035337310692978518,-0.006409554655319838,-0.00022946305644791222
politics_demographic,Politics + Demographic,0.013859568609453875,-0.00011778932001205167,0.050940798531436446
source_politics_demographic,Source + Politics + Demographic,0.01353832033042679,-0.0006568864958924281,0.05162918770078016
