Metadata_Condition,Metadata_Label,Mean_Delta_Accuracy,Mean_Delta_Kappa,Mean_Delta_Bias_Rate
source,Source,-0.008168884809545678,-0.0047268069342989,-0.019887933204044483
politics,Politics,0.022946305644791172,0.007745386177215974,0.07175635464625679
source_politics,Source + Politics,0.016842588343276704,0.0024636242290288824,0.05667737494263425
source_demographic,Source + Demographic,-0.0035337310692978518,-0.006409554655319838,-0.00022946305644791222
politics_demographic,Politics + Demographic,0.013859568609453875,-0.00011778932001205167,0.050940798531436446
source_politics_demographic,Source + Politics + Demographic,0.01353832033042679,-0.0006568864958924281,0.05162918770078016
