Metadata_Condition,Metadata_Label,Mean_Flip_Rate,Mean_To_Biased_Rate,Mean_To_Not_Biased_Rate
source,Source,0.0989444699403396,0.039284075263882515,0.059247361174850854
politics,Politics,0.13978889398806793,0.10555300596603948,0.03382285452042221
source_politics,Source + Politics,0.22290041303350164,0.1397888939880679,0.08311151904543368
source_demographic,Source + Demographic,0.1031206975676916,0.05144561725562184,0.05167508031206976
politics_demographic,Politics + Demographic,0.15731987150068838,0.10413033501606242,0.053189536484625974
source_politics_demographic,Source + Politics + Demographic,0.22482790270766406,0.13822854520422212,0.08659935750344194
